,Batting_Hand,total_matches,total_runs,centuries,half_centuries,total_fours,total_sixes,total_dotballs,total_balls_faced,total_ducks,best_score,total_outs,batting_average,India,New Zealand,South Africa,Sri Lanka,West Indies,other,Legbreak googly,Right-arm fast-medium,Right-arm medium,Right-arm medium-fast,Right-arm offbreak,Slow left-arm orthodox,other_bowling
213,0,39,798,0,4,93,23,375,737,3,92,26,30.69230769230769,1,0,0,0,0,0,0,0,1,0,0,0,0
214,1,11,0,0,0,0,0,1,1,11,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1
215,1,48,789,0,4,66,32,287,663,9,66,31,25.451612903225808,0,0,0,0,0,1,0,0,1,0,0,0,0
216,0,5,26,0,0,1,1,11,25,3,22,2,13.0,0,0,1,0,0,0,0,1,0,0,0,0,0
217,0,14,3,0,0,0,0,1,4,13,3,1,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0
218,1,2,2,0,0,0,0,6,8,1,2,1,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0
219,0,8,1,0,0,0,0,1,2,7,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1
220,0,106,1959,0,9,131,125,543,1380,13,78,57,34.36842105263157,0,0,0,0,1,0,0,0,0,1,0,0,0
221,0,9,0,0,0,0,0,10,10,9,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
222,0,29,4,0,0,0,0,9,13,27,3,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1
223,1,12,278,0,1,45,6,96,198,3,83,12,23.16666666666667,0,0,0,0,0,1,0,0,1,0,0,0,0
224,0,1,19,0,0,1,0,10,26,0,19,1,19.0,0,0,0,0,0,0,0,0,1,0,0,0,0
225,1,7,37,0,0,6,0,12,29,4,23,3,12.333333333333336,1,0,0,0,0,0,0,0,1,0,0,0,0
226,0,3,42,0,0,5,1,22,43,0,33,2,21.0,1,0,0,0,0,0,0,0,0,0,1,0,0
227,1,26,156,0,0,9,8,24,99,12,35,4,39.0,1,0,0,0,0,0,0,0,0,0,0,1,0
